word,score
impact,-0.022189794439216048
imply,-0.03993987708214874
implying,-0.03607680535225485
in,-0.014781175510862228
inclusion,-0.04226873862353225
info,-0.07903180848949769
information,-0.053667888566690504
instance,-0.019170813471965933
introduction,-0.031826952782456806
introspection,-0.05065826088431094
its,0.01735852920742637
jamesbwatson,0.010035357021700195
january,-0.019990854319526758
jewish,0.0019610200431596485
jonas,-0.01944220207363957
junk,0.050680330285322095
junkie,0.10915850104735501
just,-0.04653366305608049
k,0.06366112069313724
kick,-0.04339007201458125
kill,0.008789664796468425
kind,-0.04199415797759526
kiss,0.0008745329355125624
labour,0.002057917058481893
lazy,0.01580335933716124
left,-0.020878168269750284
lets,-0.018052767055255447
letter,-0.02312363191281915
liar,0.09252588225230755
licker,0.02000109894743145
lies,0.007671643138086132
